WeaponID,WeaponType,Material,Rarity,AttackPower,Durability,Range,Weight
1,Whip,Iron,Rare,74,16,171,19. 5
2,Mace,Plastic,Common,485,81,266,28.02
3,Bow,Titanium,Rare,75,17,169,13.95
4,Mace,Gold,Mythical,88,21,222,30.39
5,Bow,Steel,Divine,312,10,152,0.65
6,Grenade Launcher,Mythril,Common,445,21,75,37.53
7,Sniper Rifle,Adamantium,Legendary,95,11,245,2.74
8,Dagger,Wood,Uncommon,472,43,225,37.4
9,Rocket Launcher,Steel,Epic,285,49,282,28.86
10,Machine Gun,Obsidian,Legendary,298,40,120,0.8
11,Spear,Plastic,Divine,155,51,281,19.33
12,Rocket Launcher,Plastic,Mythical,112,82,217,40.51
13,Rifle,Titanium,Common,385,30,45,2.92
14,Hammer,Carbon Fiber,Legendary,267,44,219,29.78
15,Scythe,Graphene,Legendary,355,25,88,3.59
16,Bow,Graphene,Mythical,92,97,31,21.69
17,Blowgun,Bronze,Uncommon,421,9,17,49.25
18,Throwing Star,Reinforced Concrete,Common,195,89,229,33.79
19,Machine Gun,Obsidian,Epic,155,18,112,19.24
20,Throwing Star,Gold,Uncommon,389,19,289,46.51
21,Sword,Titanium,Ancient,57,100,119,8.59
22,Rifle,Titanium,Epic,378,100,242,14.93
23,Shotgun,Carbon Fiber,Ancient,229,82,209,43.02
24,Plasma Gun,Magnesium Alloy,Divine,412,28,19,30.89
25,Sling,Titanium,Epic,148,29,205,16.13
26,Blowgun,Titanium,Mythical,321,98,49,41.16
27,Mace,Silver,Common,445,87,190,20.92
28,Sling,Iron,Uncommon,410,37,94,45.76
29,Sniper Rifle,Gold,Common,289,66,265,2.7
30,Mace,Adamantium,Uncommon,372,99,28,1.8
31,Whip,Composite,Uncommon,398,45,91,7.68
32,Rocket Launcher,Bronze,Uncommon,215,44,52,13.85
33,Shotgun,Obsidian,Uncommon,175,39,298,40.76
34,Scythe,Obsidian,Uncommon,148,10,29,38.62
35,Machine Gun,Wood,Epic,405,85,218,48.1
